supplier_name,contact_person,email,phone,address
Supplier 001 Co.,Person 001,person001@supplier001.example.com,+1-555-0001,"101 Test St, City001, State001, 10001"
Supplier 002 Co.,Person 002,person002@supplier002.example.com,+1-555-0002,"102 Test St, City002, State002, 10002"
Supplier 003 Co.,Person 003,person003@supplier003.example.com,+1-555-0003,"103 Test St, City003, State003, 10003"
Supplier 004 Co.,Person 004,person004@supplier004.example.com,+1-555-0004,"104 Test St, City004, State004, 10004"
Supplier 005 Co.,Person 005,person005@supplier005.example.com,+1-555-0005,"105 Test St, City005, State005, 10005"
Supplier 006 Co.,Person 006,person006@supplier006.example.com,+1-555-0006,"106 Test St, City006, State006, 10006"
Supplier 007 Co.,Person 007,person007@supplier007.example.com,+1-555-0007,"107 Test St, City007, State007, 10007"
Supplier 008 Co.,Person 008,person008@supplier008.example.com,+1-555-0008,"108 Test St, City008, State008, 10008"
Supplier 009 Co.,Person 009,person009@supplier009.example.com,+1-555-0009,"109 Test St, City009, State009, 10009"
Supplier 010 Co.,Person 010,person010@supplier010.example.com,+1-555-0010,"110 Test St, City010, State010, 10010"
Supplier 011 Co.,Person 011,person011@supplier011.example.com,+1-555-0011,"111 Test St, City011, State011, 10011"
Supplier 012 Co.,Person 012,person012@supplier012.example.com,+1-555-0012,"112 Test St, City012, State012, 10012"
Supplier 013 Co.,Person 013,person013@supplier013.example.com,+1-555-0013,"113 Test St, City013, State013, 10013"
Supplier 014 Co.,Person 014,person014@supplier014.example.com,+1-555-0014,"114 Test St, City014, State014, 10014"
Supplier 015 Co.,Person 015,person015@supplier015.example.com,+1-555-0015,"115 Test St, City015, State015, 10015"
Supplier 016 Co.,Person 016,person016@supplier016.example.com,+1-555-0016,"116 Test St, City016, State016, 10016"
Supplier 017 Co.,Person 017,person017@supplier017.example.com,+1-555-0017,"117 Test St, City017, State017, 10017"
Supplier 018 Co.,Person 018,person018@supplier018.example.com,+1-555-0018,"118 Test St, City018, State018, 10018"
Supplier 019 Co.,Person 019,person019@supplier019.example.com,+1-555-0019,"119 Test St, City019, State019, 10019"
Supplier 020 Co.,Person 020,person020@supplier020.example.com,+1-555-0020,"120 Test St, City020, State020, 10020"
Supplier 021 Co.,Person 021,person021@supplier021.example.com,+1-555-0021,"121 Test St, City021, State021, 10021"
Supplier 022 Co.,Person 022,person022@supplier022.example.com,+1-555-0022,"122 Test St, City022, State022, 10022"
Supplier 023 Co.,Person 023,person023@supplier023.example.com,+1-555-0023,"123 Test St, City023, State023, 10023"
Supplier 024 Co.,Person 024,person024@supplier024.example.com,+1-555-0024,"124 Test St, City024, State024, 10024"
Supplier 025 Co.,Person 025,person025@supplier025.example.com,+1-555-0025,"125 Test St, City025, State025, 10025"
Supplier 026 Co.,Person 026,person026@supplier026.example.com,+1-555-0026,"126 Test St, City026, State026, 10026"
Supplier 027 Co.,Person 027,person027@supplier027.example.com,+1-555-0027,"127 Test St, City027, State027, 10027"
Supplier 028 Co.,Person 028,person028@supplier028.example.com,+1-555-0028,"128 Test St, City028, State028, 10028"
